DateTime,high,low,open,close,volumeto,ETH,SP500,Russell_2000,Crude_oil,Gold,Silver,EUR/USD,Treasury Yield 10 Years,USD/JPY,wiki_Bitcoin,wiki_Cryptocurrency,wiki_Coinbase
2021-05-10,59587.03,54239.16,58294.18,55870.01,4067497161.41,3949.77,4188.43017578125,2212.699951171875,64.91999816894531,1837.5,27.479000091552734,1.2171076536178589,1.6019999980926514,108.5719985961914,14267,11273,2758
2021-05-11,56928.37,54490.38,55870.01,56747.52,2395231325.24,4178.02,4152.10009765625,2206.989990234375,65.27999877929688,1835.9000244140625,27.656999588012695,1.2140932083129883,1.6239999532699585,108.84400177001953,11814,9365,2479
2021-05-12,58005.44,49182.89,56747.52,49504.08,4035173480.67,3811.29,4063.0400390625,2135.139892578125,66.08000183105469,1822.5999755859375,27.231000900268555,1.2144500017166138,1.6950000524520874,108.71499633789062,10435,7819,2363
2021-05-13,51377.99,47029.73,49504.08,49700.6,5919941739.84,3718.99,4112.5,2170.949951171875,63.81999969482422,1823.800048828125,27.04400062561035,1.2078505754470825,1.6679999828338623,109.66400146484375,21902,11767,2397
2021-05-14,51554.66,48910.06,49700.6,49887.96,2156016499.66,4080.13,4173.85009765625,2224.6298828125,65.37000274658203,1837.9000244140625,27.35300064086914,1.207729458808899,1.6349999904632568,109.51599884033203,15183,10216,2684
2021-05-17,46665.19,42130.83,46490.71,43552.14,5896147491.21,3280.73,4163.2900390625,2227.1201171875,66.2699966430664,1867.5,28.260000228881836,1.2150373458862305,1.6399999856948853,109.41200256347656,14907,9685,2105
2021-05-18,45819.36,42309.39,43552.14,42886.02,3159184422.64,3377.65,4127.830078125,2210.8798828125,65.48999786376953,1867.800048828125,28.31399917602539,1.2156872749328613,1.6419999599456787,109.24199676513672,12439,8701,2004
2021-05-19,43564.34,29925.2,42886.02,36771.87,11120220854.77,2442.89,4115.68017578125,2193.639892578125,63.36000061035156,1881.300048828125,28.007999420166016,1.2223997116088867,1.6829999685287476,108.86799621582031,21160,13052,2967
2021-05-20,42520.03,35009.25,36771.87,40597.4,5531454912.79,2772.84,4159.1201171875,2207.760009765625,62.04999923706055,1881.800048828125,28.052000045776367,1.217285394668579,1.6339999437332153,109.27300262451172,18561,13071,2312
2021-05-21,42252.07,33552.8,40597.4,37350.39,4573692788.95,2435.86,4155.85986328125,2215.27001953125,63.58000183105469,1876.699951171875,27.472999572753906,1.222538709640503,1.6319999694824219,108.86000061035156,17726,10621,1890
2021-05-24,39945.35,34467.32,34716.84,38837.76,3981461441.04,2648.77,4197.0498046875,2227.340087890625,66.05000305175781,1884.5999755859375,27.886999130249023,1.2183235883712769,1.6080000400543213,108.91899871826172,16804,10816,2068
2021-05-25,39842.9,36509.09,38837.76,38387.36,2529569055.97,2707.49,4188.1298828125,2205.75,66.06999969482422,1898.0999755859375,28.03700065612793,1.2214635610580444,1.5640000104904175,108.85099792480469,27897,14212,2151
2021-05-26,40854.81,37855.81,38387.36,39295.08,2607759779.42,2888.94,4195.990234375,2249.27001953125,66.20999908447266,1901.300048828125,27.85300064086914,1.2249093055725098,1.5740000009536743,108.802001953125,16744,9555,1841
2021-05-27,40408.95,37211.84,39295.08,38538.84,1804036815.09,2742.48,4200.8798828125,2273.070068359375,66.8499984741211,1895.699951171875,27.91900062561035,1.21925950050354,1.6100000143051147,109.16999816894531,10392,6531,1459
2021-05-28,38879.6,34733.76,38538.84,35680.92,3104364367.82,2412.36,4204.10986328125,2268.969970703125,66.31999969482422,1902.5,27.993000030517578,1.2193188667297363,1.5809999704360962,109.80899810791016,14223,7343,1350
2021-06-01,37910.19,35733.52,37290.83,36683.51,1626268789.21,2634.23,4202.0400390625,2294.739990234375,67.72000122070312,1902.9000244140625,28.08300018310547,1.223286509513855,1.6150000095367432,109.49299621582031,5903,4160,1208
2021-06-02,38225.18,35935.34,36683.51,37576.98,1494571249.19,2706.52,4208.1201171875,2297.830078125,68.83000183105469,1907.5,28.18600082397461,1.2217769622802734,1.590999960899353,109.49299621582031,7121,4539,1567
2021-06-03,39482.46,37199.92,37576.98,39229.66,1586641442.02,2856.01,4192.85009765625,2279.25,68.80999755859375,1871.199951171875,27.459999084472656,1.220986247062683,1.625,109.59500122070312,8198,5550,1456
2021-06-04,39273.49,35617.03,39229.66,36861.5,1837944242.33,2691.17,4229.89013671875,2286.409912109375,69.62000274658203,1889.800048828125,27.878999710083008,1.2133007049560547,1.559999942779541,110.26599884033203,10614,6632,1301
2021-06-07,36790.39,33367.12,35798.57,33582.86,1850311020.63,2593.12,4226.52001953125,2319.179931640625,69.2300033569336,1896.800048828125,28.000999450683594,1.2168411016464233,1.569000005722046,109.61699676513672,9273,5689,1170
2021-06-08,34061.09,31034.35,33582.86,33409.38,2890313261.68,2509.23,4227.259765625,2343.760009765625,70.05000305175781,1892.199951171875,27.71500015258789,1.2193634510040283,1.527999997138977,109.27400207519531,11736,6295,1262
2021-06-09,37528.42,32435.18,33409.38,37391.58,3249553573.38,2610.64,4219.5498046875,2327.1298828125,69.95999908447266,1893.199951171875,27.985000610351562,1.217285394668579,1.4889999628067017,109.46900177001953,11725,5796,1180
2021-06-10,38387.2,35821.05,37391.58,36680.78,2338112083.52,2471.56,4239.18017578125,2311.409912109375,70.29000091552734,1894.199951171875,28.014999389648438,1.218200445175171,1.4589999914169312,109.61000061035156,11692,5893,1168
2021-06-11,37665.85,35981.84,36680.78,37339.98,1596038876.7,2355.09,4247.43994140625,2335.81005859375,70.91000366210938,1877.4000244140625,28.131000518798828,1.2172558307647705,1.4620000123977661,109.40899658203125,10354,5242,1026
2021-06-14,41025.42,38755.79,39017.37,40526.63,2740589573.6,2582.12,4255.14990234375,2326.14990234375,70.87999725341797,1864.0,28.02400016784668,1.2110203504562378,1.5010000467300415,109.70899963378906,10207,5479,1044
2021-06-15,41307.06,39526.69,40526.63,40161.86,1943860792.12,2543.6,4246.58984375,2320.070068359375,72.12000274658203,1854.5,27.679000854492188,1.212224006652832,1.4989999532699585,110.04100036621094,9069,5136,1181
2021-06-16,40487.98,38122.04,40161.86,38345.41,1883613058.48,2367.7,4223.7001953125,2314.68994140625,72.1500015258789,1859.5,27.799999237060547,1.2127091884613037,1.569000005722046,110.08399963378906,9242,5184,1009
2021-06-17,39537.42,37386.57,38345.41,38082.3,1599770630.8,2372.31,4221.85986328125,2287.4599609375,71.04000091552734,1773.800048828125,25.8439998626709,1.1995586156845093,1.5110000371932983,110.7699966430664,8011,4535,967
2021-06-18,38201.23,35158.89,38082.3,35830.29,2207651943.63,2233.57,4166.4501953125,2237.75,71.63999938964844,1767.9000244140625,25.95800018310547,1.1913414001464844,1.4500000476837158,110.32499694824219,7471,4267,836
2021-06-21,35760.61,31284.7,35602.26,31652.62,3650731161.39,1887.89,4224.7900390625,2286.090087890625,73.66000366210938,1781.800048828125,26.014999389648438,1.1873664855957031,1.4839999675750732,110.20099639892578,9829,5056,1023
2021-06-22,33312.87,28908.07,31652.62,32537.58,4060734244.07,1880.83,4246.43994140625,2295.949951171875,73.05999755859375,1776.300048828125,25.847999572753906,1.1912561655044556,1.472000002861023,110.3740005493164,10491,5743,1179
2021-06-23,34831.93,31790.02,32537.58,33678.64,2037061709.14,1968.56,4241.83984375,2303.469970703125,73.08000183105469,1782.300048828125,26.107999801635742,1.1936734914779663,1.4869999885559082,110.65399932861328,7562,4737,1080
2021-06-24,35267.23,32340.83,33678.64,34649.84,1311147481.02,1989.01,4266.490234375,2333.6201171875,73.30000305175781,1775.5999755859375,26.047000885009766,1.1933174133300781,1.4869999885559082,111.01200103759766,7973,4637,874
2021-06-25,35494.5,31290.25,34649.84,31593.86,3027434524.39,1810.27,4280.7001953125,2334.39990234375,74.05000305175781,1776.5999755859375,26.082000732421875,1.1930327415466309,1.5360000133514404,110.9209976196289,6710,4088,771
2021-06-28,35292.57,33890.86,34713.81,34487.11,1424168416.33,2083.8,4290.60986328125,2322.340087890625,72.91000366210938,1779.5999755859375,26.218000411987305,1.1942152976989746,1.4780000448226929,110.8219985961914,6365,4043,988
2021-06-29,36624.75,34243.82,34487.11,35901.41,1578253520.29,2165.61,4291.7998046875,2308.840087890625,72.9800033569336,1762.800048828125,25.871999740600586,1.1928904056549072,1.4800000190734863,110.60299682617188,6429,3753,1115
2021-06-30,36090.37,34062.04,35901.41,35056.39,1388243727.19,2276.14,4297.5,2310.550048828125,73.47000122070312,1770.800048828125,26.165000915527344,1.1901928186416626,1.4429999589920044,110.53500366210938,5121,3487,1106
2021-07-01,35065.41,32757.33,35056.39,33543.11,1238732543.23,2109.29,4319.93994140625,2329.360107421875,75.2300033569336,1775.9000244140625,26.075000762939453,1.1856770515441895,1.4800000190734863,111.1240005493164,7403,4277,1739
2021-07-02,33968.47,32715.18,33543.11,33804.54,1102040372.36,2155.65,4352.33984375,2305.760009765625,75.16000366210938,1782.5999755859375,26.481000900268555,1.1846235990524292,1.430999994277954,111.5719985961914,5637,3796,1529
2021-07-06,35096.65,33558.75,33702.79,34237.66,1123145329.6,2322.63,4343.5400390625,2274.5,73.37000274658203,1793.5,26.15399932861328,1.186380386352539,1.3700000047683716,110.91600036621094,6771,3901,1707
2021-07-07,35066.82,33807.42,34237.66,33880.79,752074468.65,2317.12,4358.1298828125,2252.85009765625,72.19999694824219,1801.5,26.110000610351562,1.1824523210525513,1.3209999799728394,110.60199737548828,5491,3875,1538
2021-07-08,33934.31,32108.68,33880.79,32874.01,1573967671.27,2114.51,4320.81982421875,2231.679931640625,72.94000244140625,1799.5999755859375,25.966999053955078,1.17933988571167,1.2879999876022339,110.63500213623047,5401,3697,1563
